"Plot","Age","300 Index","Site Index","Total C","AGL C","BGL C","DWL C","FL C","Species"
"LowUC",25.4,8.1140986328125,18.7449645996094,95.0624503575292,76.6513183274851,15.1809726672237,0,3.23015936282041,"PRAD"
"HighUC",25.4,3.6879150390625,18.7449645996094,90.705883723441,73.2149947623173,14.500691172676,0,2.99019778844772,"PRAD"
"HighT2",20.9,9.0953076171875,17.1302795410156,89.5419412038401,71.7930456168826,14.23252412274,0.29398116662514,3.22239029759227,"PRAD"
"HighT1",26.5,19.4015830078125,27.2615051269531,170.798373966685,137.249790591261,27.4111497217092,0,6.13743365371494,"PRAD"
"LowShort",25.4,8.1140986328125,18.7449645996094,95.0624503575292,76.6513183274851,15.1809726672237,0,3.23015936282041,"PRAD"
"HighShort",25.4,3.6879150390625,18.7449645996094,90.705883723441,73.2149947623173,14.500691172676,0,2.99019778844772,"PRAD"
"HighShortT2",20.9,7.8920732421875,17.1302795410156,42.0444148127425,33.0022964576952,6.63388887520665,0.637740493667482,1.77048898617316,"PRAD"
"HighShortT1",26.5,19.4015830078125,27.2615051269531,170.798373966685,137.249790591261,27.4111497217092,0,6.13743365371494,"PRAD"
