"Plot","Index age","Age","Stocking b4 thin","Stocking aft thin","MTH","Crown Lth","Volume b4 thin","Volume aft thin","BA b4 thin","BA aft thin","DBH b4 thin","DBH aft thin","Mean Height","Event"
"LowUC",25.4,0,310,,0.3,0,0,,0,,0,,0.2,
"LowUC",25.4,1,310,,0.574188728509966,0,0,,0,,0,,0.551383826806633,
"LowUC",25.4,2,310,,1.23200622673098,0,0,,0,,0,,1.18307496161994,
"LowUC",25.4,3,310,,2.083773437321,0,0,,0,,0,,2.0010127594278,
"LowUC",25.4,4,310,,3.06025960378327,0,0.0232797399620959,,0.00580361764851965,,0.48818311168492,,2.93871608335913,
"LowUC",25.4,5,310,,4.1159481935147,0,0.167456353201786,,0.0653589871414036,,1.63827201088384,,3.95247616888494,
"LowUC",25.4,6,310,,5.21842430492807,0,0.560253047874724,,0.228498457250912,,3.06319744437721,,5.01116552848189,
"LowUC",25.4,7,310,,6.3437670006694,0,1.36892903038894,,0.526512085754854,,4.64983483982072,,6.09181328633137,
"LowUC",25.4,8,310,,7.47402653652631,0,2.77581868429905,,0.976787745228428,,6.33334951811234,,7.1771826034594,
"LowUC",25.4,9,310,,8.59565276064296,0,4.95743084743302,,1.58602540937068,,8.0702766993553,,8.25426149580373,
"LowUC",25.4,10,310,,9.69843346018234,0,8.06786574053866,,2.35268747880529,,9.82913897144466,,9.31324334628073,
"LowUC",25.4,11,310,,10.7747373112892,0,12.2272010841647,,3.26894195458817,,11.5860916455488,,10.3467999223042,
"LowUC",25.4,12,310,,11.818953327616,0,17.514751217535,,4.32227362774366,,13.3226151749786,,11.3495430875857,
"LowUC",25.4,13,310,,12.8270644692231,0,23.9668283516583,,5.49689963763095,,15.0242312225674,,12.3176153458974,
"LowUC",25.4,14,310,,13.7963168560373,0,31.5785262868998,,6.77508081898579,,16.6797906331806,,13.2483721922916,
"LowUC",25.4,15,310,,14.7249593839309,0,40.3088679118189,,8.13835636513887,,18.2810739897867,,14.1401320707799,
"LowUC",25.4,16,310,,15.6120365234656,0,50.088338461718,,9.56865744296104,,19.8225197162131,,14.9919774024334,
"LowUC",25.4,17,310,,16.4572221047022,0,60.8274967663179,,11.0492060589804,,21.3009459982884,,15.8035949717183,
"LowUC",25.4,18,310,,17.26068519208,0,72.4252607785955,,12.5651084746261,,22.7151953462726,,16.5751471283861,
"LowUC",25.4,19,310,,18.0229814024028,0,84.7757544730192,,14.1036094974106,,24.0656996508306,,17.3071674219553,
"LowUC",25.4,20,310,,18.7449645996094,0,97.773188313612,,15.6540519245363,,25.354014824872,,18.0004758036766,
"LowUC",25.4,21,310,,19.4277150406016,0,111.314849954368,,17.2076409790175,,26.5823898572995,,18.6561096261745,
"LowUC",25.4,22,310,,20.0724808882734,0,125.349457030906,,18.7641297131412,,27.7586005996797,,19.2752674793878,
"LowUC",25.4,23,310,,20.6806306414157,0,140.039554721376,,20.3539893027385,,28.9106679620595,,19.8592635098033,
"LowUC",25.4,24,310,,21.2536145159162,0,155.265577848044,,21.9641218916657,,30.032416447571,,20.4094903354681,
"LowUC",25.4,25,310,,21.7929331879172,0,170.969434217392,,23.5910641338619,,31.1248394955863,,20.9273890305677,"M"
"LowUC",25.4,26,310,,22.3001126052297,0,187.095151311917,,25.2316926469039,,32.1889305454774,,21.4162190823788,
"LowUC",25.4,27,309.335035193131,,22.776683808072,0,203.28848713753,,26.8434737503072,,33.236784748582,,21.8759520398787,
"LowUC",25.4,28,308.592768347328,,23.2241668883476,0,219.725417476259,,28.4555131772068,,34.2613554626059,,22.308067432837,
"HighUC",25.4,0,1000,,0.3,0,0,,0,,0,,0.2,
"HighUC",25.4,1,1000,,0.574188728509966,0,0,,0,,0,,0.535103674321029,
"HighUC",25.4,2,1000,,1.23200622673098,0,0,,0,,0,,1.14814350400244,
"HighUC",25.4,3,1000,,2.083773437321,0,0,,0,,0,,1.94193087986344,
"HighUC",25.4,4,1000,,3.06025960378327,0,0.00183162164307237,,0.000456621582133356,,0.0762416732539208,,2.85194758631041,
"HighUC",25.4,5,1000,,4.1159481935147,0,0.118823350347736,,0.0463773017803506,,0.768363879723574,,3.83577540328971,
"HighUC",25.4,6,1000,,5.21842430492807,0,0.509348557796783,,0.207737128965278,,1.62618991871429,,4.86320591311417,
"HighUC",25.4,7,1000,,6.3437670006694,0,1.35986649317298,,0.523026488425932,,2.58033470651815,,5.91194647777864,
"HighUC",25.4,8,1000,,7.47402653652631,0,2.87743049187016,,1.01254410387223,,3.59022094616662,,6.96526919301706,
"HighUC",25.4,9,1000,,8.59565276064296,0,5.25927784297865,,1.68259498732565,,4.62811345892206,,8.01054626645795,
"HighUC",25.4,10,1000,,9.69843346018234,0,8.67136575860321,,2.52867540195886,,5.6736265181043,,9.03826063108013,
"HighUC",25.4,11,1000,,10.7747373112892,0,13.2340993821597,,3.53813619353645,,6.71121998922097,,10.0413004276078,
"HighUC",25.4,12,1000,,11.818953327616,0,19.0150384036826,,4.69251307095283,,7.72888681462146,,11.0144366098024,
"HighUC",25.4,13,1000,,12.8270644692231,0,26.0278739548258,,5.96960969600664,,8.71740393868292,,11.9539255778249,
"HighUC",25.4,14,1000,,13.7963168560373,0,34.2365732182506,,7.34535704457487,,9.66987048400537,,12.8572009083501,
"HighUC",25.4,15,1000,,14.7249593839309,0,43.5633175570358,,8.79542942020746,,10.5813901033485,,13.7226306949921,
"HighUC",25.4,16,1000,,15.6120365234656,0,53.8987125856748,,10.2965746756225,,11.4488163414684,,14.5493244512471,
"HighUC",25.4,17,1000,,16.4572221047022,0,65.1127593160347,,11.8276163412669,,12.2705157195746,,15.3369782095793,
"HighUC",25.4,18,1000,,17.26068519208,0,77.0652663601811,,13.3701062451377,,13.0461278738407,,16.0857495262035,
"HighUC",25.4,19,1000,,18.0229814024028,0,89.614729987871,,14.9086394432157,,13.7763195415951,,16.7961561970611,
"HighUC",25.4,20,1000,,18.7449645996094,0,102.625138532491,,16.4308771664213,,14.4625401063763,,17.4689939635318,
"HighUC",25.4,21,1000,,19.4277150406016,0,115.970575144378,,17.9273477171526,,15.1067910702225,,18.1052695493784,
"HighUC",25.4,22,1000,,20.0724808882734,0,129.565396689017,,19.3952328745059,,15.7130937276038,,18.7061461549873,
"HighUC",25.4,23,1000,,20.6806306414157,0,143.586068412406,,20.8694558212722,,16.2993304342478,,19.272899125371,
"HighUC",25.4,24,1000,,21.2536145159162,0,157.882069727722,,22.3342551006505,,16.8616448613794,,19.8068799601525,
"HighUC",25.4,25,1000,,21.7929331879172,0,172.384285354889,,23.7862910998827,,17.4011346096025,,20.3094871843776,"M"
"HighUC",25.4,26,1000,,22.3001126052297,0,187.029581873708,,25.222849938259,,17.9188972795213,,20.7830500570265,
"HighUC",25.4,27,994.772058636656,,22.776683808072,0,201.235008095434,,26.5723196306643,,18.4402645214906,,21.2282808123185,
"HighUC",25.4,28,988.810824068315,,23.2241668883476,0,215.345008453748,,27.8882288452742,,18.9482044758578,,21.6466175402466,
"HighT2",20.9,0,1000,,0.3,0,0,,0,,0,,0.2,
"HighT2",20.9,1,1000,,0.529658585714132,0,0,,0,,0,,0.493604700473308,
"HighT2",20.9,2,1000,,1.11031557737257,0,0,,0,,0,,1.03473634296119,
"HighT2",20.9,3,1000,,1.87058681666674,0,0,,0,,0,,1.74325588266485,
"HighT2",20.9,4,1000,,2.7483828819929,0,0.03728952949509,,0.00686170941730675,,0.295549591240311,,2.56131005102921,
"HighT2",20.9,5,999.541,,3.70223608272972,0,0.502181085398602,4.66194473345097,0.183701277233917,1.85424046088857,1.52957220539507,4.86179127476446,3.45025090897408,
"HighT2",20.9,6,998.623627683485,550,4.70228465880343,0,1.84934441442867,,0.756169597372656,,3.10401059375866,,4.38224989289029,"TW"
"HighT2",20.9,7,550,,5.72629457765873,0,4.66194473345097,,1.85424046088857,,4.86179127476446,,5.3920113012997,
"HighT2",20.9,8,550,,6.75745150342184,0,5.52083459890443,16.0840434654351,2.04321559166931,5.01434071271817,6.87685637508492,10.7780465105014,6.36305174162404,
"HighT2",20.9,9,549.492965220606,250,7.7829689908308,0,9.89187714452642,,3.361973281737,,8.82327470627322,,7.32880665241534,"TW"
"HighT2",20.9,10,250,,8.79313868463637,0,16.0840434654351,,5.01434071271817,,10.7780465105014,,8.51593044145296,
"HighT2",20.9,11,250,,9.78064705700289,0,11.6075366443744,,3.33150547126937,,13.0246020513886,,9.47230710182784,
"HighT2",20.9,12,250,,10.7400656267092,0,16.6710166317581,,4.42908249077779,,15.0176190000414,,10.4014795050941,
"HighT2",20.9,13,250,,11.6674606069462,0,22.8629447315501,,5.65625082874937,,16.9710427552322,,11.2996378791057,
"HighT2",20.9,14,250,,12.5600883076462,0,30.1837128241235,,6.99485270882774,,18.8726760141086,,12.1641250300427,
"HighT2",20.9,15,250,,13.4161541246871,0,38.600044854235,,8.42613914211421,,20.7137395251668,,12.9932029296058,
"HighT2",20.9,16,250,,14.2346198647729,0,48.0518849868196,,9.93184764334216,,22.4884344052445,,13.7858661140796,
"HighT2",20.9,17,250,,15.0150485324514,0,58.4599682942056,,11.4950086156577,,24.193508193507,,14.5416913645192,
"HighT2",20.9,18,250,,15.75747859865,0,69.7328048126958,,13.1004131040459,,25.8277570698273,,15.2607159390363,
"HighT2",20.9,19,250,,16.4623217526884,0,81.7722524158195,,14.7347520153629,,27.3914872291061,,15.9433385482319,
"HighT2",20.9,20,250,,17.1302795410156,0,94.4774822676376,,16.386515072591,,28.8860060841981,,16.5902386219405,
"HighT2",20.9,21,250,,17.7622753127145,0,107.747619125047,,18.0457685805622,,30.3132072886098,,17.2029582549982,"M"
"HighT2",20.9,22,249.762519678112,,18.3593986463401,0,121.437671158786,,19.6964763172911,,31.6843525789246,,17.7820271538781,
"HighT2",20.9,23,249.497368902208,,18.9228600033934,0,135.755900208433,,21.3797467753529,,33.028016684386,,18.3286308452752,
"HighT2",20.9,24,249.201322137811,,19.4539537925674,0,150.580105448822,,23.0811216656324,,34.3374061861358,,18.8440358237737,
"HighT2",20.9,25,248.871437424659,,19.9540283710968,0,165.847012261468,,24.7962153232082,,35.6138867408739,,19.3295606756255,
"HighT2",20.9,26,248.504939632549,,20.4244617795961,0,181.495120833249,,26.521004148857,,36.8588406305399,,19.7865523633279,
"HighT2",20.9,27,248.099254058851,,20.8666422221099,0,197.465341074555,,28.2518180699352,,38.0736640076738,,20.2163671302075,
"HighT2",20.9,28,247.652033836449,,21.281952476324,0,213.701500555362,,29.9853319815584,,39.2597638607912,,20.6203552383126,
"HighT1",26.5,0,1000,,0.3,0,0,,0,,0,,0.2,
"HighT1",26.5,1,1000,,0.872440517195727,0,0,,0,,0,,0.813053449498129,
"HighT1",26.5,2,1000,,1.99926170016878,0,0,,0,,0,,1.86317186069781,
"HighT1",26.5,3,1000,,3.38139856051865,0,0.0569461343201242,,0.0128349854302451,,0.404214503113162,,3.15123856153259,
"HighT1",26.5,4,999.541,,4.91226962069836,0,1.01054831214194,,0.407925848715735,,2.27931583769935,,4.57792597371981,
"HighT1",26.5,5,999.08221045834,,6.52678533593976,0,4.34366067919984,,1.70579116272217,,4.66204561900433,,6.08257611980714,
"HighT1",26.5,6,998.623481101255,,8.18101871605357,0,11.928056196557,,4.13354753388661,,7.25896634898631,,7.62425272554698,
"HighT1",26.5,7,998.159975422713,,9.84396461226724,0,25.5121491699173,,7.69561765940176,,9.90685638811689,,9.17406420714218,
"HighT1",26.5,8,997.653131862469,,11.4932782643315,0,46.2504954250592,,12.2285472052466,,12.4914210922084,,10.7112004840361,
