"Iteration","Age","A200","N","N_prethin","mnheight","MTH","DBH","BA","Vol"
1,1,52.3541069030762,1000,NA,0.813053449498129,0.872440517195727,0,0,0
2,2,52.3541069030762,1000,NA,1.86317186069781,1.99926170016878,0.404214503113162,0.0128349854302451,0.0569461343201242
3,3,52.3541069030762,999.541,NA,3.15123856153259,3.38139856051865,2.27931583769935,0.407925848715735,1.01054831214194
4,4,52.3541069030762,999.08221045834,NA,4.57792597371981,4.91226962069836,4.66204561900433,1.70579116272217,4.34366067919984
5,5,52.3541069030762,998.623481101255,NA,6.08257611980714,6.52678533593976,7.25896634898631,4.13354753388661,11.928056196557
6,6,52.3541069030762,998.159975422713,NA,7.62425272554698,8.18101871605357,9.90685638811689,7.69561765940176,25.5121491699173
7,7,52.3541069030762,997.653131862469,NA,9.17406420714218,9.84396461226724,12.4914210922084,12.2285472052466,46.2504954250592
8,8,52.3541069030762,996.96525124156,NA,10.7112004840361,11.4932782643315,14.9255471047014,17.4466535315505,74.385142084652
9,9,52.3541069030762,995.803129406845,NA,12.2205906072623,13.1127486908452,17.1459146512885,22.9967465188538,109.160863033757
10,10,52.3541069030762,270,993.735854739337,13.6913874695292,14.6906641125007,19.1172572087406,28.5294712492984,149.04348290396
11,11,52.3541069030762,270,NA,15.659526518586,16.2186897179103,23.5017739030609,11.7148477360142,66.6673755533621
12,12,52.3541069030762,270,NA,17.0811385267193,17.6910639963921,25.7617032588546,14.0761701331709,86.476911842638
13,13,52.3541069030762,270,NA,18.4453665328439,19.1040052312089,27.8725824378843,16.4774414748073,108.421814166987
14,14,52.3541069030762,270,NA,19.750037763869,20.4552630648839,29.8400861373238,18.8858051833766,132.182507317502
15,15,52.3541069030762,270,NA,20.9941252019686,21.7437738073089,31.6728278571159,21.276933747522,157.444550958303
16,16,52.3541069030762,270,NA,22.1774884328839,22.9693920303772,33.3802156921111,23.6327160963081,183.906074119023
17,17,52.3541069030762,270,NA,23.3006698756667,24.1326795215914,34.9712711347262,25.9392967235039,211.279866490746
18,18,52.3541069030762,270,NA,24.3647334043264,25.2347381432869,36.4541908630762,28.1857948546763,239.294672275746
19,19,52.3541069030762,270,NA,25.3711358905196,26.2770767884259,37.8363141062318,30.3635820572873,267.697037870629
20,20,52.3541069030762,270,NA,26.3216246131561,27.2615051269531,39.1242462053264,32.4658910531382,296.253470482847
21,21,52.3541069030762,270,NA,27.2181551858611,28.1900486026492,40.3327969793648,34.5026173046534,324.893928358423
22,22,52.3541069030762,270,NA,28.0628258844123,29.0648804155621,41.50638329016,36.5397141032216,354.117233507962
23,23,52.3541069030762,270,NA,28.8578251633405,29.8882671645545,42.6356851237211,38.5551016819839,383.627691321122
24,24,52.3541069030762,270,NA,29.605389830939,30.6625255288456,43.7224002155414,40.5455644747959,413.306809481088
25,25,52.3541069030762,270,NA,30.3077718696014,31.3899879035846,44.7682263011139,42.5084370196301,443.046947770219
26,26,52.3541069030762,270,NA,30.9672122877379,32.0729753180834,45.7748611159318,44.441573900186,472.751562228151
27,27,52.3541069030762,268.889632805303,NA,31.5910806890795,32.7137762880755,46.7916045917514,46.2467833533562,501.288841922812
28,28,52.3541069030762,267.709038569472,NA,32.1769270512101,33.3146305077859,47.7801054514491,48.0096830147656,529.486981287813
