field,value
300Index,35.59
SI,19.95
Age_for_index,21.58
Stocking_sph,300
DBH_cm,
BA_m2_ha,52.12
Vol_m3_ha,
Age_for_SI,21.58
MTH_m,21.32
Latitude_S,38.46
Elevation_m,288.0
Mode,1
Stocking_age,Stocking_before_thin,Stocking_after_thin,Thinning_coeff,Thinning_BA,Thinning_MTH
0,1200,,,,
