Plot,Species,Year planted,Latitude (decimal degrees),Elevation above sea level (m),Needle retention score,Soil %C,Soil %N,Soil Organic P (mg/kg),Early survival (%),Mean Temperature (°C),Mean Outerwood Density (kg/m3),Outerwood density assessment age (years),Inner ring,Outer ring,300 Index,Site Index,300 Index Drift,Additive Mortality Coef.,Mult Mortality Coef.,Initial Dry matter Needle litter (t/ha),Initial Dry matter Branch litter (t/ha),Initial Dry matter Stem litter (t/ha),Initial Dry matter Coarse root litter (t/ha),Initial Dry matter Fine root litter (t/ha),Initial N Needle litter (kg/ha),Initial N Branch litter (kg/ha),Initial N Stem litter (kg/ha),Initial N Coarse root litter (kg/ha),Initial N Fine root litter (kg/ha),Initial P Needle litter (kg/ha),Initial P Branch litter (kg/ha),Initial P Stem litter (kg/ha),Initial P Coarse root litter (kg/ha),Initial P Fine root litter (kg/ha)
A2056,PRAD,1965,-35.6,58,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
A2064,PRAD,1971,-35.6,37,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
A2075,PRAD,1973,-35.6,207,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
A2088,PRAD,1975,-35.6,158,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
A2269,PRAD,1975,-37.3,70,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
A2282,PRAD,1975,-37.3,70,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
A2406,PRAD,1971,-37.3,92,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
A2408,PRAD,1971,-37.3,92,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
A2409,PRAD,1971,-37.3,92,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
A2410,PRAD,1971,-37.3,92,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
A2411,PRAD,1971,-37.3,92,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
A2412,PRAD,1971,-37.3,92,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
A2413,PRAD,1971,-37.3,92,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
A2414,PRAD,1971,-37.3,92,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
A2415,PRAD,1971,-37.3,92,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
A2416,PRAD,1971,-37.3,92,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
A2417,PRAD,1971,-37.3,92,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
A2418,PRAD,1971,-37.3,92,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
A2419,PRAD,1971,-37.3,92,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
A2420,PRAD,1971,-37.3,92,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
