"Variable","Value","Type"
"MTH_a_mac","47.37","Double"
"MTH_a_nit","116.04","Double"
"MTH_a_red","0","Double"
"MTH_a_reg","259.8","Double"
"MTH_a_sal","106.03","Double"
"MTH_b_bla","0.01325","Double"
"MTH_b_del","829","Double"
"MTH_b_fas","0","Double"
"MTH_b_lus","0","Double"
"MTH_b_mac","0","Double"
"MTH_b_nit","0","Double"
"MTH_b_red","40.82","Double"
"MTH_b_reg","0","Double"
"MTH_b_sal","0","Double"
"MTH_c_bla","0.9302","Double"
"MTH_c_del","1.201","Double"
"MTH_c_fas","1.392","Double"
"MTH_c_lus","1.099","Double"
"MTH_c_mac","1.062","Double"
"MTH_c_nit","0.4539","Double"
"MTH_c_red","0.4619","Double"
"MTH_c_reg","0.3387","Double"
"MTH_c_sal","0.4586","Double"
"MTH_form_bla","Anamorphic","String"
"MTH_form_del","GADA","String"
"MTH_form_fas","CA","String"
"MTH_form_lus","CA","String"
"MTH_form_mac","CA","String"
"MTH_form_nit","CA","String"
"MTH_form_red","GADA","String"
"MTH_form_reg","CA","String"
"MTH_form_sal","CA","String"
"MTH_model_bla","Richards","String"
"MTH_model_del","Hossfeld","String"
"MTH_model_fas","Hossfeld","String"
"MTH_model_lus","Richards","String"
"MTH_model_mac","Richards","String"
"MTH_model_nit","Korf","String"
"MTH_model_red","Korf","String"
"MTH_model_reg","Korf","String"
"MTH_model_sal","Korf","String"
"THINCOEF_bla","0.765","Double"
"THINCOEF_cyp","0.7","Double"
"THINCOEF_dfr","0.705","Double"
"THINCOEF_euc","0.7","Double"
"THINCOEF_rad","0.784","Double"
"THINCOEF_red","0.78","Double"
"VOL_type_bla","2","Double"
"VOL_type_del","2","Double"
"VOL_type_dfr","3","Double"
"VOL_type_fas","2","Double"
"VOL_type_lus","1","Double"
"VOL_type_mac","1","Double"
"VOL_type_nit","2","Double"
"VOL_type_rad","1","Double"
"VOL_type_red1","1","Double"
"VOL_type_red2","1","Double"
"VOL_type_reg","2","Double"
"VOL_type_sal","2","Double"
"VOL_u_bla","-0.2801","Double"
"VOL_u_del","-0.3391","Double"
"VOL_u_dfr","0.3208","Double"
"VOL_u_fas","-0.9468","Double"
"VOL_u_lus","0.2944","Double"
"VOL_u_mac","0.2944","Double"
"VOL_u_nit","0.012","Double"
"VOL_u_rad","0.317","Double"
"VOL_u_red1","0","Double"
"VOL_u_red2","0.2251","Double"
"VOL_u_reg","-1.0996","Double"
"VOL_u_sal","0.2173","Double"
"VOL_v_bla","0.9704","Double"
"VOL_v_del","0.9541","Double"
"VOL_v_dfr","0.928","Double"
"VOL_v_fas","0.9892","Double"
"VOL_v_lus","0.3973","Double"
"VOL_v_mac","0.3973","Double"
