LowUC,25.4,AGE,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,SPH,BA,HT,GCL,VOL,DENS,LAI,PRNHT,EXT,CSHRUB
,,25,13.30565238,9.402090346,1.115095448,0.779348657,0.271566646,20.41226834,3.04541214,75.32360978,19.87373499,4.753069403,0,0,0,1.662782763,4.70398789,7.848478697,1000,185.9848752,20.30948718,13.70177503,185.9848752,0.404998577,3.557918936,0,0,4.2225
,,26,13.34192088,9.136948569,1.111787771,0.780566814,0.27277203,20.9775918,3.822894437,81.139645,21.36793969,4.824514609,0,0.154315966,0.013953207,1.663026978,4.752088332,8.464707353,996.71789,199.5015711,20.78271019,14.17499804,199.5015711,0.40671181,3.556732602,0,0,4.4746
,,27,13.33431181,8.874130838,1.105838795,0.77825144,0.273198385,21.42694638,4.6450536,86.82829525,22.84835873,4.881313621,0,0.442044892,0.038849187,1.660835665,4.775542867,9.068366578,990.7176236,212.6362608,21.22793243,14.62022028,212.6362608,0.408341902,3.544514979,0,0,4.7331
,,28,13.29514119,8.701081756,1.098080166,0.774087157,0.272388004,21.78273693,5.483237365,92.45602275,24.3195319,4.922806679,0,0.757883294,0.06441143,1.654068299,4.783514074,9.666370548,984.0444393,225.5328603,21.64624299,15.03853083,225.5328603,0.409944797,3.524472653,0,0,4.998
,,28,0,0,0,0,0,0,0,0,0,7.067362006,27.26597429,16.07624229,24.38394333,0,6.437582373,0,0,0,0,0,0,0.409944797,0,-1,86.8040343,4.998
,,0,0,0,0.0043,0,0,0,0,0.002175,0,7.067362006,27.26597429,16.07624229,24.38394333,0.0011,6.437582373,0.000725,1000,0,0.2,0,0,0,0.007360839,-1,0,4.998
HighT2,20.9,AGE,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,SPH,BA,HT,GCL,VOL,DENS,LAI,PRNHT,EXT,CSHRUB
,,0,0,0,0.0043,0,0,0,0,0.002175,0,0,0,0,0,0.0011,0,0.000725,1000,0,0.2,0,0,0,0.007360839,-1,0,0
,,1,0.049872203,0.048575797,0.013592771,0.00301,0,0.009262659,0,0.012156517,0.003848835,0.00129,0,0,0,0.010562826,0.00165,0.002583595,1000,0.035713333,0.4936047,0.2936047,0.035713333,0.340391563,0.028410289,0,0,0.0921
,,2,0.269164959,0.25657687,0.073362794,0.00951494,0.0010535,0.058917038,1.35457E-15,0.066905056,0.024729419,0.007041739,0,0,0,0.054587491,0.016636238,0.012553715,1000,0.196878598,1.034736343,0.834736343,0.196878598,0.339828996,0.143230762,0,0,0.1906
,,3,0.606470007,0.513780774,0.159850225,0.051353956,0.003330229,0.169453097,4.93718E-12,0.195245108,0.072505943,0.034746196,0,1.52616E-05,1.30179E-06,0.106869431,0.089866631,0.034672983,999.8163747,0.575530596,1.743258529,1.543258529,0.575530596,0.339243663,0.364892942,0,0,0.2955
,,4,1.018992685,0.802213825,0.255693537,0.111895158,0.017973884,0.352509178,5.64E-10,0.42545235,0.155166338,0.111799921,0,0.000103086,8.78696E-06,0.169594964,0.203440129,0.07092901,999.357459,1.243334175,2.561313944,2.284820006,1.243334175,0.342186646,0.653473626,0,0,0.4068
