Plot,Age,300 Index,Site Index,Total C,AGL C,BGL C,DWL C,FL C,Species,
A2549,21.5,20.7,26.9,165.1,110.6,26.6,20.8,7.1,PRAD,
A2550,21.4,21.8,28.0,153.1,99.9,24.6,22.0,6.6,PRAD,
A2552,24.2,22.1,27.4,180.2,114.6,29.8,29.5,6.3,PRAD,
A2554,26.2,23.1,28.1,241.5,163.8,40.7,29.5,7.6,PRAD,
A2560,18.5,32.6,33.3,202.8,135.0,32.5,24.3,11.0,PRAD,
A2561,22.0,32.7,32.0,250.2,165.5,41.5,33.2,10.1,PRAD,
A2563,25.2,30.8,30.0,294.1,197.4,50.1,37.0,9.5,PRAD,
A2564,26.2,28.1,31.1,294.2,203.0,50.2,32.0,9.0,PRAD,
A2565,19.5,31.0,29.3,196.8,131.2,31.6,24.2,9.8,PRAD,
A2567,25.2,32.2,32.1,289.6,187.6,49.8,43.0,9.3,PRAD,
A2568,23.2,26.2,31.6,206.8,135.2,34.2,29.7,7.7,PRAD,
A2569,23.2,32.4,35.0,284.2,186.6,48.1,39.0,10.4,PRAD,
A2570,23.2,27.8,31.9,227.7,149.3,37.9,32.0,8.4,PRAD,
A2571,23.2,23.6,29.1,195.7,130.7,32.1,25.6,7.3,PRAD,
A2572,24.2,15.7,23.9,133.4,88.5,21.4,18.8,4.8,PRAD,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
