,,,Stocking,,MTH,,Volume,,BA,,DBH,,Mean,,,,,,,,,
Plot,Index age,Age,b4 thin,aft thin,,Crown Lth,b4 thin,aft thin,b4 thin,aft thin,b4 thin,aft thin,Height,,,,,,,,,
,,yrs,sph,sph,m,m,m3/ha,m3/ha,m2/ha,m2/ha,cm,,m,,,,,,,,,
,,20,272.5,,17.0,,117.8,,19.5,,30.2,,16.4,,,,,,,,,
,,21,248.8,,17.8,,124.6,,19.8,,31.8,,17.2,,,,,,,,,
,,22,248.6,,18.5,,140.0,,21.5,,33.2,,17.9,,,,,,,,,
,,23,248.3,,19.2,,155.9,,23.2,,34.5,,18.6,,,,,,,,,
,,24,247.9,,19.9,,172.2,,24.8,,35.7,,19.3,,,,,,,,,
,,25,247.6,,20.5,,189.0,,26.5,,36.9,,19.9,,,,,,,,,
,,26,247.2,,21.1,,206.0,,28.1,,38.1,,20.5,,,,,,,,,
,,27,246.7,,21.7,,223.3,,29.8,,39.2,,21.0,,,,,,,,,
,,28,246.2,,22.2,,240.7,,31.4,,40.3,,21.5,,,,,,,,,
A1810,25.35068493,0,1852.0,,0.3,,0.0,,0.0,,0.0,,0.2,,,,,,,,,
,,1,1732.2,,0.4,,0.0,,0.0,,0.0,,0.4,,,,,,,,,
,,2,1620.2,,0.9,,0.1,,0.0,,0.0,,0.8,,,,,,,,,
,,3,1515.4,,1.5,,0.4,,0.0,,0.0,,1.4,,,,,,,,,
,,4,1417.4,,2.3,,0.7,,0.1,,0.9,,2.1,,,,,,,,,
,,5,1325.7,,3.2,,1.2,,0.5,,2.2,,2.9,,,,,,,,,
,,6,1240.0,,4.1,,3.2,,1.3,,3.6,,3.8,,,,,,,,,
,,7,1159.8,,5.2,,6.6,,2.5,,5.2,,4.8,,,,,,,,,
,,8,1084.7,,6.2,,12.0,,4.1,,6.9,,5.8,,,,,,,,,
,,9,1014.6,,7.3,,19.1,,6.0,,8.7,,6.8,,,,,,,,,
,,10,949.0,,8.4,,28.2,,8.1,,10.4,,7.8,,,,,,,,,
,,11,887.6,,9.5,,38.8,,10.2,,12.1,,8.9,,,,,,,,,
,,12,830.2,,10.6,,50.7,,12.3,,13.7,,9.9,,,,,,,,,
,,13,776.5,,11.7,,63.5,,14.3,,15.3,,10.9,,,,,,,,,
,,14,726.3,,12.7,,76.9,,16.2,,16.8,,11.9,,,,,,,,,
,,15,679.3,,13.8,,90.5,,17.9,,18.3,,12.9,,,,,,,,,
,,16,635.4,,14.8,,104.0,,19.4,,19.7,,13.8,,,,,,,,,
,,17,594.3,,15.7,,117.2,,20.7,,21.1,,14.8,,,,,,,,,
,,18,555.8,,16.7,,130.0,,21.9,,22.4,,15.7,,,,,,,,,
,,19,519.9,,17.5,,142.1,,22.9,,23.7,,16.6,,,,,,,,,
,,20,486.2,,18.4,,153.4,,23.7,,24.9,,17.4,,,,,,,,,
,,21,454.8,,19.2,,164.3,,24.4,,26.1,,18.2,,,,,,,,,
,,22,425.4,,20.0,,174.7,,25.0,,27.4,,19.0,,,,,,,,,
,,23,397.9,,20.8,,184.5,,25.6,,28.6,,19.8,,,,,,,,,
,,24,372.1,,21.5,,193.8,,26.1,,29.9,,20.5,,,,,,,,,
,,25,348.1,,22.2,,202.5,,26.5,,31.1,,21.2,,,,,,,,,
,,26,339.5,,22.8,,216.9,,27.6,,32.2,,21.8,,,,,,,,,
,,27,338.5,,23.4,,234.7,,29.2,,33.1,,22.4,,,,,,,,,
,,28,337.5,,24.0,,252.7,,30.7,,34.1,,23.0,,,,,,,,,
A1811,9.506849315,0,1852.0,,0.3,,0.0,,0.0,,0.0,,0.2,,,,,,,,,
,,1,1665.5,,0.6,,0.1,,0.0,,0.0,,0.6,,,,,,,,,
,,2,1497.7,,1.4,,0.5,,0.0,,0.0,,1.3,,,,,,,,,
,,3,1346.8,,2.5,,1.3,,0.2,,1.2,,2.3,,,,,,,,,
,,4,1211.2,,3.7,,2.6,,1.0,,3.3,,3.4,,,,,,,,,
,,5,1089.2,,5.0,,7.4,,2.8,,5.7,,4.6,,,,,,,,,
,,6,979.5,,6.4,,15.6,,5.3,,8.3,,5.9,,,,,,,,,
,,7,880.8,,7.8,,27.3,,8.2,,10.9,,7.3,,,,,,,,,
